Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all,terr_contr_vdem_owid,terr_contr_vdem_high_owid,terr_contr_vdem_low_owid
Dominican Republic,DOM,1999,12.673316,High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2000,14.167305,High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2001,12.631157,High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2002,14.542187,High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2003,21.323223,Very High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2004,24.759134,Very High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2005,26.121775,Very High,0.0,95.5,98.165,92.035
Dominican Republic,DOM,2006,23.093077,Very High,0.0,95.3,98.186,92.214
Dominican Republic,DOM,2007,22.452177,Very High,0.0,95.3,98.186,92.214
Dominican Republic,DOM,2008,25.139275,Very High,0.0,95.5,98.182,92.618
Dominican Republic,DOM,2009,24.616344,Very High,0.0,95.5,98.182,92.618
Dominican Republic,DOM,2010,25.307508,Very High,0.0,95.7,98.155,92.445
Dominican Republic,DOM,2011,25.37426,Very High,0.0,95.7,98.155,92.445
Dominican Republic,DOM,2012,22.610174,Very High,0.0,95.7,98.155,92.445
Dominican Republic,DOM,2013,19.474157,High,0.0,92.375,96.164,88.336
Dominican Republic,DOM,2014,17.603382,High,0.0,92.375,96.164,88.336
Dominican Republic,DOM,2015,,,0.0,92.375,96.164,88.336
Dominican Republic,DOM,2016,15.35014,High,0.0,92.375,96.164,88.336
Dominican Republic,DOM,2017,11.420795,High,0.0,92.375,96.164,88.336
Dominican Republic,DOM,2018,9.920551,Medium,0.0,90.5,95.296,85.704
Dominican Republic,DOM,2019,9.428515,Medium,0.0,92.833,96.671,87.662
Dominican Republic,DOM,2020,8.73663,Medium,0.0,93.833,98.453,89.213
Dominican Republic,DOM,2021,10.541584,High,0.0,93.833,98.209,89.124
East Timor,TLS,1990,,,1.055242,,,
East Timor,TLS,1991,,,38.050224,,,
East Timor,TLS,1992,,,4.976343,,,
East Timor,TLS,1993,,,0.0,,,
East Timor,TLS,1994,,,0.0,,,
East Timor,TLS,1995,,,3.2957616,,,
East Timor,TLS,1996,,,0.0,,,
East Timor,TLS,1997,,,9.486012,,,
East Timor,TLS,1998,,,8.416908,,,
East Timor,TLS,1999,,,89.42459,,,
East Timor,TLS,2000,,,0.0,,,
East Timor,TLS,2001,,,0.0,,,
East Timor,TLS,2002,,,0.0,92.9,97.074,87.726
East Timor,TLS,2003,,,0.0,92.9,97.074,87.726
East Timor,TLS,2004,2.4313192,Low,0.0,92.9,97.074,87.726
East Timor,TLS,2005,4.7456264,Low,0.0,92.9,97.074,87.726
East Timor,TLS,2006,4.9267797,Low,0.0,96.5,98.429,94.371
East Timor,TLS,2007,6.082236,Medium,0.0,97.0,98.8,95.0
East Timor,TLS,2008,3.3554585,Low,0.0,97.0,98.8,95.0
East Timor,TLS,2009,3.0031722,Low,0.0,97.0,98.8,95.0
East Timor,TLS,2010,3.5829568,Low,0.0,97.0,98.8,95.0
East Timor,TLS,2011,,,0.0,97.0,98.8,95.0
East Timor,TLS,2012,,,0.0,97.0,98.8,95.0
East Timor,TLS,2013,,,0.0,97.0,98.8,95.0
East Timor,TLS,2014,,,0.0,97.0,98.8,95.0
East Timor,TLS,2015,4.063648,Low,0.0,97.0,98.8,95.0
East Timor,TLS,2016,,,0.0,97.0,98.8,95.0
East Timor,TLS,2017,,,0.0,97.0,98.8,95.0
East Timor,TLS,2018,,,0.0,96.0,98.287,93.313
East Timor,TLS,2019,,,0.0,94.0,98.077,89.523
East Timor,TLS,2020,,,0.0,95.0,98.119,91.481
East Timor,TLS,2021,,,0.0,95.0,98.119,91.481
Ecuador,ECU,1990,8.536018,Medium,0.0,99.75,99.966,99.534
Ecuador,ECU,1991,10.789536,High,0.0,99.75,99.966,99.534
Ecuador,ECU,1992,8.566804,Medium,0.0,99.75,99.966,99.534
Ecuador,ECU,1993,8.317742,Medium,0.0,99.75,99.966,99.534
Ecuador,ECU,1994,10.037319,High,0.0,99.75,99.966,99.534
Ecuador,ECU,1995,11.867914,High,0.09514186,99.75,99.966,99.534
Ecuador,ECU,1996,12.421422,High,0.0,99.75,99.966,99.534
Ecuador,ECU,1997,10.982498,High,0.0,99.75,99.966,99.534
Ecuador,ECU,1998,13.46585,High,0.0,99.75,99.966,99.534
Ecuador,ECU,1999,13.551352,High,0.0,95.6,97.295,93.705
Ecuador,ECU,2000,14.517079,High,0.0,95.6,97.295,93.705
Ecuador,ECU,2001,12.907223,High,0.031139255,95.6,97.295,93.705
Ecuador,ECU,2002,14.582335,High,0.0,95.6,97.295,93.705
Ecuador,ECU,2003,,,0.19547126,95.6,97.295,93.705
Ecuador,ECU,2004,,,0.11082708,95.6,97.295,93.705
Ecuador,ECU,2005,,,0.0,95.6,97.295,93.705
Ecuador,ECU,2006,,,0.0,95.6,97.295,93.705
Ecuador,ECU,2007,15.948823,High,0.0,95.6,97.295,93.705
Ecuador,ECU,2008,17.983282,High,0.17245185,95.6,97.295,93.705
Ecuador,ECU,2009,17.805342,High,0.0,95.6,97.295,93.705
Ecuador,ECU,2010,17.505487,High,0.060041703,96.7,98.106,94.894
Ecuador,ECU,2011,15.376308,High,0.0,96.455,97.914,94.814
Ecuador,ECU,2012,12.412907,High,0.0,96.455,97.914,94.814
Ecuador,ECU,2013,10.971196,High,0.0,96.455,97.914,94.814
Ecuador,ECU,2014,8.209052,Medium,0.0,96.455,97.914,94.814
Ecuador,ECU,2015,6.4831214,Medium,0.0,96.455,97.914,94.814
Ecuador,ECU,2016,5.8334804,Medium,0.0,96.455,97.914,94.814
Ecuador,ECU,2017,5.8094463,Medium,0.0,96.455,97.914,94.814
Ecuador,ECU,2018,5.841674,Medium,0.0,95.333,97.242,93.425
Ecuador,ECU,2019,6.843968,Medium,0.0115315365,95.875,97.948,93.302
Ecuador,ECU,2020,7.800509,Medium,0.0,94.5,97.146,91.354
Ecuador,ECU,2021,14.024255,High,1.6350394,94.5,97.146,91.354
Egypt,EGY,1990,0.47015947,Undefined,0.0,85.923,92.397,77.911
Egypt,EGY,1991,0.49137506,Undefined,0.0,85.923,92.397,77.911
Egypt,EGY,1992,0.46008325,Undefined,0.0,85.923,92.397,77.911
Egypt,EGY,1993,0.39750937,Undefined,0.16780108,85.923,92.397,77.911
Egypt,EGY,1994,0.36797592,Undefined,0.23098056,85.923,92.397,77.911
Egypt,EGY,1995,,,0.3537649,85.923,92.397,77.911
Egypt,EGY,1996,,,0.22725472,85.923,92.397,77.911
Egypt,EGY,1997,,,0.2134528,85.923,92.397,77.911
Egypt,EGY,1998,,,0.03944715,85.923,92.397,77.911
Egypt,EGY,1999,,,0.0,85.923,92.397,77.911
Egypt,EGY,2000,,,0.0,85.923,92.397,77.911
Egypt,EGY,2001,,,0.0,85.923,92.397,77.911
Egypt,EGY,2002,,,0.0,85.923,92.397,77.911
Egypt,EGY,2003,0.62003607,Undefined,0.0,85.923,92.397,77.911
Egypt,EGY,2004,0.41536367,Undefined,0.0025798986,85.923,92.397,77.911
Egypt,EGY,2005,0.6601302,Undefined,0.15681253,85.923,92.397,77.911
Egypt,EGY,2006,0.6808908,Undefined,0.0,92.692,95.01,90.067
Egypt,EGY,2007,0.8270619,Undefined,0.0,92.692,95.01,90.067
Egypt,EGY,2008,1.1533216,Very Low,0.0,92.692,95.01,90.067
Egypt,EGY,2009,1.0666534,Very Low,0.0,92.692,95.01,90.067
Egypt,EGY,2010,2.1076782,Low,0.0,91.833,94.347,89.32
Egypt,EGY,2011,3.0302672,Low,0.03475334,90.0,92.696,86.971
Egypt,EGY,2012,2.4188852,Low,0.081104435,90.0,92.696,86.971
Egypt,EGY,2013,,,0.12743916,83.1,88.941,76.859
Egypt,EGY,2014,3.0232553,Low,0.18620741,87.6,91.333,83.467
Egypt,EGY,2015,1.750853,Very Low,0.88105464,87.4,91.104,83.696
Egypt,EGY,2016,1.5353159,Very Low,0.38783762,88.6,92.012,84.788
Egypt,EGY,2017,1.3360921,Very Low,0.8399697,86.9,91.567,81.833
Egypt,EGY,2018,,,0.6593358,90.4,93.079,87.321
Egypt,EGY,2019,,,0.59932584,92.778,95.042,90.513
Egypt,EGY,2020,,,0.46340615,93.778,95.587,91.746
Egypt,EGY,2021,,,0.07962499,92.25,93.857,90.643
El Salvador,SLV,1990,,,15.8183565,86.0,92.592,79.408
El Salvador,SLV,1991,,,1.6114047,86.0,92.592,79.408
El Salvador,SLV,1992,,,0.0,89.0,96.016,81.984
El Salvador,SLV,1993,,,0.0,94.929,96.756,92.815
El Salvador,SLV,1994,134.77866,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,1995,138.77399,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,1996,117.16123,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,1997,112.50055,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,1998,94.88397,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,1999,64.90709,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2000,59.595715,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2001,59.95229,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2002,47.161377,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2003,55.684162,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2004,64.56631,Very High,0.5633193,94.929,96.756,92.815
El Salvador,SLV,2005,64.29476,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2006,65.07651,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2007,57.85778,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2008,52.38873,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2009,71.939995,Very High,0.0,94.929,96.756,92.815
El Salvador,SLV,2010,65.210625,Very High,0.0,94.571,96.619,92.238
El Salvador,SLV,2011,71.21968,Very High,0.0,94.571,96.619,92.238
El Salvador,SLV,2012,42.10158,Very High,0.0,94.571,96.619,92.238
El Salvador,SLV,2013,40.62634,Very High,0.0,94.571,96.619,92.238
El Salvador,SLV,2014,63.144913,Very High,0.0,94.571,96.619,92.238
El Salvador,SLV,2015,106.8196,Very High,0.0,94.25,96.318,91.849
El Salvador,SLV,2016,84.40911,Very High,0.0,94.25,96.318,91.849
El Salvador,SLV,2017,63.223526,Very High,0.0,95.2,97.44,92.96
El Salvador,SLV,2018,53.311302,Very High,0.0,94.111,97.029,91.193
El Salvador,SLV,2019,38.183395,Very High,0.0,93.75,97.407,89.593
El Salvador,SLV,2020,21.310303,Very High,0.0,92.857,96.484,87.802
El Salvador,SLV,2021,18.165499,High,0.0,92.0,96.968,87.032
Eritrea,ERI,1990,,,1428.022,,,
Eritrea,ERI,1991,,,296.28903,,,
Eritrea,ERI,1992,,,0.0,,,
Eritrea,ERI,1993,,,0.0,100.0,100.0,100.0
Eritrea,ERI,1994,,,0.0,100.0,100.0,100.0
Eritrea,ERI,1995,,,0.0,100.0,100.0,100.0
Eritrea,ERI,1996,,,2.2083995,100.0,100.0,100.0
Eritrea,ERI,1997,,,1.3527838,100.0,100.0,100.0
Eritrea,ERI,1998,,,36.24996,100.0,100.0,100.0
Eritrea,ERI,1999,,,1918.236,100.0,100.0,100.0
Eritrea,ERI,2000,,,2089.5254,98.357,98.822,97.892
Eritrea,ERI,2001,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2002,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2003,,,2.148193,98.357,98.822,97.892
Eritrea,ERI,2004,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2005,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2006,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2007,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2008,,,1.0978837,98.357,98.822,97.892
Eritrea,ERI,2009,,,0.0,98.357,98.822,97.892
Eritrea,ERI,2010,,,0.0,98.714,99.088,98.198
Eritrea,ERI,2011,,,0.0,98.714,99.088,98.198
Eritrea,ERI,2012,14.572975,High,0.0,98.714,99.088,98.198
Eritrea,ERI,2013,,,0.0,98.0,98.545,97.455
Eritrea,ERI,2014,,,0.0,98.0,98.545,97.455
Eritrea,ERI,2015,,,0.0,98.0,98.545,97.455
Eritrea,ERI,2016,,,0.0,98.0,98.554,97.446
Eritrea,ERI,2017,,,0.0,97.333,97.918,96.749
Eritrea,ERI,2018,,,0.0,97.111,97.989,96.011
Eritrea,ERI,2019,,,0.0,96.429,97.554,95.303
Eritrea,ERI,2020,,,1.8842089,96.5,97.911,95.089
Eritrea,ERI,2021,,,2.209747,92.333,94.674,89.326
Estonia,EST,1990,7.512698,Medium,0.0,,,
Estonia,EST,1991,7.6007886,Medium,0.0,92.6,95.063,90.137
Estonia,EST,1992,14.0874195,High,0.0,97.6,99.366,95.834
Estonia,EST,1993,18.744572,High,0.0,97.6,99.366,95.834
Estonia,EST,1994,20.464489,Very High,0.0,97.735,99.504,95.965
Estonia,EST,1995,16.933111,High,0.0,100.0,100.0,100.0
Estonia,EST,1996,14.916322,High,0.0,100.0,100.0,100.0
Estonia,EST,1997,12.522072,High,0.0,100.0,100.0,100.0
Estonia,EST,1998,13.889416,High,0.0,100.0,100.0,100.0
Estonia,EST,1999,11.186332,High,0.0,100.0,100.0,100.0
Estonia,EST,2000,10.237125,High,0.0,100.0,100.0,100.0
Estonia,EST,2001,9.870357,Medium,0.0,100.0,100.0,100.0
Estonia,EST,2002,10.295525,High,0.0,100.0,100.0,100.0
Estonia,EST,2003,,,0.0,100.0,100.0,100.0
Estonia,EST,2004,,,0.0,100.0,100.0,100.0
Estonia,EST,2005,,,0.0,100.0,100.0,100.0
Estonia,EST,2006,,,0.0,100.0,100.0,100.0
Estonia,EST,2007,7.161109,Medium,0.0,100.0,100.0,100.0
Estonia,EST,2008,6.432258,Medium,0.0,100.0,100.0,100.0
Estonia,EST,2009,5.245208,Medium,0.0,100.0,100.0,100.0
Estonia,EST,2010,5.2570906,Medium,0.0,100.0,100.0,100.0
Estonia,EST,2011,4.8966837,Low,0.0,100.0,100.0,100.0
Estonia,EST,2012,4.7630496,Low,0.0,100.0,100.0,100.0
Estonia,EST,2013,3.9454272,Low,0.0,100.0,100.0,100.0
Estonia,EST,2014,3.118995,Low,0.0,100.0,100.0,100.0
Estonia,EST,2015,3.4229474,Low,0.0,100.0,100.0,100.0
Estonia,EST,2016,2.5077407,Low,0.0,100.0,100.0,100.0
Estonia,EST,2017,2.2010574,Low,0.0,100.0,100.0,100.0
Estonia,EST,2018,2.1177669,Low,0.0,100.0,100.0,100.0
Estonia,EST,2019,1.9592499,Very Low,0.0,100.0,100.0,100.0
Estonia,EST,2020,3.1592155,Low,0.0,100.0,100.0,100.0
Estonia,EST,2021,1.9567984,Very Low,0.0,100.0,100.0,100.0
Eswatini,SWZ,1990,19.086405,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,1991,19.107317,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,1992,18.807455,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,1993,18.249496,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,1994,15.9373,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,1995,,,0.0,94.4,98.009,90.791
Eswatini,SWZ,1996,,,0.0,94.4,98.009,90.791
Eswatini,SWZ,1997,,,0.0,94.4,98.009,90.791
Eswatini,SWZ,1998,16.415339,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,1999,11.19436,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2000,12.421197,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2001,17.66859,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2002,12.752086,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2003,12.7503195,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2004,13.6991,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2005,12.967797,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2006,11.783978,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2007,11.162274,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2008,19.910631,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2009,17.079403,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2010,18.910467,High,0.0,94.4,98.009,90.791
Eswatini,SWZ,2011,15.560379,High,0.0,94.2,97.544,90.656
Eswatini,SWZ,2012,9.357197,Medium,0.0,94.2,97.544,90.656
Eswatini,SWZ,2013,9.120832,Medium,0.0,92.4,95.796,88.404
Eswatini,SWZ,2014,10.48083,High,0.0,92.4,95.796,88.404
Eswatini,SWZ,2015,9.877101,Medium,0.0,92.4,95.796,88.404
Eswatini,SWZ,2016,10.15296,High,0.0,92.4,95.796,88.404
Eswatini,SWZ,2017,11.290696,High,0.0,91.556,95.695,87.417
Eswatini,SWZ,2018,,,0.0,91.556,95.695,87.417
Eswatini,SWZ,2019,,,0.0,91.556,95.695,87.417
Eswatini,SWZ,2020,,,0.0,95.0,99.553,90.447
Eswatini,SWZ,2021,12.664906,High,4.0259237,95.0,99.553,90.447
Ethiopia,ETH,1990,,,40.083065,78.571,82.998,74.145
Ethiopia,ETH,1991,,,12.7920065,89.286,93.647,84.925
Ethiopia,ETH,1992,,,1.9495666,89.286,93.647,84.925
Ethiopia,ETH,1993,,,0.23051895,95.0,96.943,92.704
Ethiopia,ETH,1994,,,0.13484307,95.0,96.943,92.704
Ethiopia,ETH,1995,,,1.7902956,95.0,96.943,92.704
Ethiopia,ETH,1996,,,0.0876193,95.0,96.943,92.704
Ethiopia,ETH,1997,,,0.0032661872,95.0,96.943,92.704
Ethiopia,ETH,1998,,,1.778686,95.0,96.943,92.704
Ethiopia,ETH,1999,,,4.281044,95.0,96.943,92.704
Ethiopia,ETH,2000,,,0.6593878,95.0,96.943,92.704
Ethiopia,ETH,2001,,,0.5360848,95.0,96.943,92.704
Ethiopia,ETH,2002,,,1.1270066,95.0,96.943,92.704
Ethiopia,ETH,2003,,,1.4541708,95.0,96.943,92.704
Ethiopia,ETH,2004,,,0.6135375,95.0,96.943,92.704
Ethiopia,ETH,2005,,,0.31883332,95.0,96.943,92.704
Ethiopia,ETH,2006,,,0.74914306,95.0,96.943,92.704
Ethiopia,ETH,2007,,,0.574417,95.0,96.943,92.704
Ethiopia,ETH,2008,,,0.32599506,95.0,96.943,92.704
Ethiopia,ETH,2009,,,0.9613214,95.0,96.943,92.704
Ethiopia,ETH,2010,,,0.03473864,95.0,96.943,92.704
Ethiopia,ETH,2011,,,0.062079374,95.0,96.943,92.704
Ethiopia,ETH,2012,8.631964,Medium,0.41397005,95.0,96.943,92.704
Ethiopia,ETH,2013,,,0.28222874,97.643,98.476,96.667
Ethiopia,ETH,2014,,,0.026066007,97.643,98.476,96.667
Ethiopia,ETH,2015,,,0.310329,97.643,98.476,96.667
Ethiopia,ETH,2016,,,0.54134536,97.643,98.476,96.667
Ethiopia,ETH,2017,,,0.4159044,96.0,97.37,94.43
Ethiopia,ETH,2018,,,0.60470027,96.2,97.628,94.572
Ethiopia,ETH,2019,,,0.3610216,93.667,95.55,91.783
Ethiopia,ETH,2020,,,4.1120934,75.375,85.308,63.442
Ethiopia,ETH,2021,,,11.250133,61.75,71.254,49.996
Fiji,FJI,1990,4.1003036,Low,0.0,94.182,96.579,91.421
Fiji,FJI,1991,2.1660686,Low,0.0,94.182,96.579,91.421
Fiji,FJI,1992,3.304279,Low,0.0,94.182,96.579,91.421
Fiji,FJI,1993,1.9006625,Very Low,0.0,94.182,96.579,91.421
Fiji,FJI,1994,4.425878,Low,0.0,94.182,96.579,91.421
Fiji,FJI,1995,3.0293622,Low,0.0,94.182,96.579,91.421
Fiji,FJI,1996,1.6320617,Very Low,0.0,94.182,96.579,91.421
Fiji,FJI,1997,1.6157659,Very Low,0.0,94.182,96.579,91.421
Fiji,FJI,1998,,,0.0,94.182,96.579,91.421
Fiji,FJI,1999,,,0.0,94.182,96.579,91.421
Fiji,FJI,2000,,,0.0,94.182,96.579,91.421
Fiji,FJI,2001,,,0.0,94.182,96.579,91.421
Fiji,FJI,2002,,,0.0,94.182,96.579,91.421
Fiji,FJI,2003,2.912716,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2004,2.653761,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2005,2.6288013,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2006,2.491272,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2007,2.3578339,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2008,1.8957758,Very Low,0.0,94.182,96.579,91.421
Fiji,FJI,2009,3.2172801,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2010,2.2095308,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2011,2.2017837,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2012,2.1952474,Low,0.0,94.182,96.579,91.421
Fiji,FJI,2013,2.0800195,Low,0.0,93.636,96.145,90.946
Fiji,FJI,2014,2.1844554,Low,0.0,93.636,96.145,90.946
Fiji,FJI,2015,,,0.0,93.636,96.145,90.946
Fiji,FJI,2016,,,0.0,91.875,95.467,88.283
Fiji,FJI,2017,,,0.0,92.25,95.627,88.873
Fiji,FJI,2018,,,0.0,91.625,95.375,87.875
Fiji,FJI,2019,,,0.0,91.625,95.375,87.875
Fiji,FJI,2020,2.1729164,Low,0.0,92.857,95.867,89.276
Fiji,FJI,2021,,,0.0,93.286,97.172,89.399
Finland,FIN,1990,3.0482028,Low,0.0,99.462,99.806,99.117
Finland,FIN,1991,3.0714896,Low,0.0,99.462,99.806,99.117
Finland,FIN,1992,3.093936,Low,0.0,99.462,99.806,99.117
Finland,FIN,1993,2.5658207,Low,0.0,99.462,99.806,99.117
Finland,FIN,1994,2.8888726,Low,0.0,99.462,99.806,99.117
Finland,FIN,1995,2.8582935,Low,0.0,99.462,99.806,99.117
Finland,FIN,1996,2.98553,Low,0.0,99.462,99.806,99.117
Finland,FIN,1997,2.7043104,Low,0.0,99.462,99.806,99.117
Finland,FIN,1998,2.1926656,Low,0.0,99.462,99.806,99.117
Finland,FIN,1999,2.7683718,Low,0.0,99.462,99.806,99.117
Finland,FIN,2000,2.8592353,Low,0.0,99.462,99.806,99.117
Finland,FIN,2001,3.0069377,Low,0.0,99.462,99.806,99.117
Finland,FIN,2002,2.5381708,Low,0.0,99.462,99.806,99.117
Finland,FIN,2003,1.9758338,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2004,2.8308342,Low,0.0,99.462,99.806,99.117
Finland,FIN,2005,2.2683642,Low,0.0,99.462,99.806,99.117
Finland,FIN,2006,2.2596722,Low,0.0,99.462,99.806,99.117
Finland,FIN,2007,2.4391677,Low,0.0,99.462,99.806,99.117
Finland,FIN,2008,2.5031288,Low,0.0,99.462,99.806,99.117
Finland,FIN,2009,2.2476897,Low,0.0,99.462,99.806,99.117
Finland,FIN,2010,2.2001498,Low,0.0,99.462,99.806,99.117
Finland,FIN,2011,2.041511,Low,0.0,99.462,99.806,99.117
Finland,FIN,2012,1.6439292,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2013,1.6363689,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2014,1.6112968,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2015,1.4964975,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2016,1.3466251,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2017,1.2163817,Very Low,0.0,99.462,99.806,99.117
Finland,FIN,2018,1.5592532,Very Low,0.0,100.0,100.0,100.0
Finland,FIN,2019,1.466983,Very Low,0.0,100.0,100.0,100.0
Finland,FIN,2020,1.645728,Very Low,0.0,100.0,100.0,100.0
Finland,FIN,2021,,,0.0,100.0,100.0,100.0
France,FRA,1990,2.401933,Low,0.0,94.889,96.729,93.049
France,FRA,1991,2.392082,Low,0.0,94.889,96.729,93.049
France,FRA,1992,2.360015,Low,0.0,94.889,96.729,93.049
France,FRA,1993,2.6624026,Low,0.0,94.889,96.729,93.049
France,FRA,1994,2.4567506,Low,0.0,94.889,96.729,93.049
France,FRA,1995,2.3267012,Low,0.0,94.889,96.729,93.049
France,FRA,1996,2.0321684,Low,0.0,94.889,96.729,93.049
France,FRA,1997,1.6649561,Very Low,0.0,94.889,96.729,93.049
France,FRA,1998,1.6546046,Very Low,0.0,94.889,96.729,93.049
France,FRA,1999,1.6331859,Very Low,0.0,94.889,96.729,93.049
France,FRA,2000,1.7915143,Very Low,0.0,94.889,96.729,93.049
France,FRA,2001,1.774132,Very Low,0.0,94.889,96.729,93.049
France,FRA,2002,1.8847018,Very Low,0.0,94.889,96.729,93.049
France,FRA,2003,1.652484,Very Low,0.0,94.889,96.729,93.049
France,FRA,2004,1.6470233,Very Low,0.0,94.889,96.729,93.049
France,FRA,2005,1.6129544,Very Low,0.0,94.889,96.729,93.049
France,FRA,2006,1.442896,Very Low,0.0,94.889,96.729,93.049
France,FRA,2007,1.6191262,Very Low,0.0,94.889,96.729,93.049
France,FRA,2008,1.654218,Very Low,0.0,94.889,96.729,93.049
France,FRA,2009,1.318983,Very Low,0.0,94.889,96.729,93.049
France,FRA,2010,1.2747306,Very Low,0.0,94.889,96.729,93.049
France,FRA,2011,1.3635943,Very Low,0.0,94.889,96.729,93.049
France,FRA,2012,1.2430353,Very Low,0.0,94.889,96.729,93.049
France,FRA,2013,1.2268063,Very Low,0.0,94.889,96.729,93.049
France,FRA,2014,1.2455084,Very Low,0.0,94.889,96.729,93.049
France,FRA,2015,1.5859641,Very Low,0.20843203,94.889,96.729,93.049
France,FRA,2016,1.2173907,Very Low,0.13596019,94.889,96.729,93.049
France,FRA,2017,1.106883,Very Low,0.00311798,96.333,98.077,94.59
France,FRA,2018,1.0827998,Very Low,0.020224709,95.0,96.677,93.323
France,FRA,2019,1.1692591,Very Low,0.0,95.0,96.677,93.323
France,FRA,2020,1.0732001,Very Low,0.0,98.0,99.1,96.9
France,FRA,2021,1.13743,Very Low,0.0,98.0,99.1,96.9
Georgia,GEO,1990,5.0077567,Medium,0.0,,,
Georgia,GEO,1991,7.872824,Medium,2.0856416,72.2,87.422,55.378
Georgia,GEO,1992,14.696543,High,14.715636,84.835,88.895,80.775
Georgia,GEO,1993,17.123318,High,35.826344,79.2,81.338,77.062
Georgia,GEO,1994,11.564827,High,0.0,79.2,81.338,77.062
Georgia,GEO,1995,8.016112,Medium,1.0660802,79.2,81.338,77.062
Georgia,GEO,1996,5.6707535,Medium,0.0,79.2,81.338,77.062
Georgia,GEO,1997,6.142199,Medium,0.5603408,79.2,81.338,77.062
Georgia,GEO,1998,5.378004,Medium,0.8410044,79.2,81.338,77.062
Georgia,GEO,1999,5.5523944,Medium,0.0,79.2,81.338,77.062
Georgia,GEO,2000,5.6035256,Medium,0.0,79.2,81.338,77.062
Georgia,GEO,2001,6.345788,Medium,0.0,79.2,81.338,77.062
Georgia,GEO,2002,7.1901217,Medium,0.22161336,79.2,81.338,77.062
Georgia,GEO,2003,,,0.0,79.2,81.338,77.062
Georgia,GEO,2004,7.470807,Medium,0.67688495,81.214,82.069,80.36
Georgia,GEO,2005,10.173732,High,0.0,81.214,82.069,80.36
Georgia,GEO,2006,8.21075,Medium,0.0,81.5,82.34,80.518
Georgia,GEO,2007,8.447523,Medium,0.0,81.5,82.414,80.586
Georgia,GEO,2008,6.7788773,Medium,16.006388,78.303,80.285,75.891
Georgia,GEO,2009,5.447189,Medium,0.0,79.286,79.916,78.655
Georgia,GEO,2010,4.8738136,Low,0.0,79.286,79.916,78.655
